,,,given,given,given,given,given,given,given,given,given,given,given,given
date,,,1,2,3,4,5,6,7,8,9,10,11,12
street,year,def,,,,,,,,,,,,
1.0,2016,5.0,0.0,21330.22,24348.71,21696.45,25386.78,22238.08,8115.533333333334,18901.52,27978.35,24070.43,26939.06,32267.665
1.0,2016,6.0,0.0,54133.09,47974.53,40132.41,26865.63,5259.58,-3482.25,0.0,0.0,0.0,0.0,50795.095
1.0,2016,7.0,538.23,708.1999999999999,736.5266666666666,358.96000000000004,882.8175000000001,963.1466666666666,-15.0725,1335.1466666666668,1243.9233333333334,733.5966666666667,861.1733333333333,813.2516666666667
1.0,2017,5.0,8141.06,30356.6,5968.23,13546.67,26469.28,26992.81,24477.85,34989.73,29371.93,28638.72,32199.54,15747.605
1.0,2017,6.0,51325.47,52161.4,53143.92,39668.11,31544.63,4511.85,0.0,0.0,0.0,0.0,5158.26,23606.515
1.0,2017,7.0,0.0,771.98,863.2866666666667,863.2866666666667,863.2866666666667,1177.64,714.0899999999999,914.36,945.8866666666667,788.2399999999999,945.8866666666667,501.246
1.0,2018,8.0,8610.0225,17514.788,14329.437142857143,12532.018333333333,12615.851666666667,7980.33,3192.0049999999997,1774.0349999999999,4006.565,9957.939999999999,19477.030000000002,16887.553333333333
1.0,2019,8.0,8761.938,16780.72,18447.4625,20271.915,14063.015,6786.78,8082.010000000001,7681.383333333334,7750.100000000001,12632.793333333333,7736.383333333332,2937.876470588235
1.0,2020,1.0,5904.26,37255.74,10795.725,25069.75,20635.61,26937.72,29601.165,24757.22,32021.12,32535.13,36002.28,119425.94333333336
1.0,2020,2.0,0.0,48785.095,22716.415,46326.99,38406.86,13183.72,0.0,0.0,0.0,0.0,0.0,157730.945
1.0,2020,3.0,647.355,0.0,791.21,647.35,119.88000000000001,119.88000000000001,576.62,593.905,458.1566666666667,617.52,706.1233333333333,3589.5699999999997
1.0,2021,5.0,38301.39,32128.29,32681.61,40016.64,39335.43,35694.6,30846.28,39136.63,43669.0,39943.23,47820.82,41592.21
1.0,2021,9.0,51531.479999999996,63387.84,56283.86,42067.08,29811.53,6239.39,0.0,0.0,0.0,0.0,0.0,34586.31
1.0,2021,10.0,713.662,438.24333333333334,756.96,737.0433333333334,1016.64,279.88333333333327,1245.385,867.625,1064.1599999999999,1383.405,583.59,691.7049999999999
2.0,2018,8.0,0.0,63.93,778.13,807.18,771.14,234.68,145.19,165.67,158.91,188.75,174.78,158.04
2.0,2019,8.0,149.18,167.16,154.16,157.9,147.18,165.06,136.88,191.88,145.04,172.52,245.5,223.54
